summary,location,attendees,expected_summary,expected_location,expected_attendees,comment,source
Aufstehen,zuhause,,[6549],"[6964,9861]",[],,Diakoneo Wohngruppe Igel; Ohrenkuss #48 Alltag
Zähne putzen,Badezimmer,,"[6971,2326,27489,31880]","[33954,15905]",[],,Bull et al. 2022 (AAP Health Supervision DS); Global DS Foundation Guidelines 2020
Duschen,Badezimmer,,"[26803,32162,2371,27728]","[33954,15905]",[],,Katz ADL Index 1963; Touchdown 21 Mein Alltag
Haare waschen,Badezimmer,,"[8616,8976,35037]","[33954,15905]",[],,Touchdown 21 Mein Alltag
Hörgerät einsetzen,zuhause,,"[34278,34280,34279]","[6964,9861]",[],,"Bull et al. 2022 (AAP, hearing loss in DS); NDSS Healthcare Guidelines"
Anziehen,zuhause,,"[6627,2781,32135]","[6964,9861]",[],,Lawton-Brody IADL; Lebenshilfe Wien Tagesstruktur
Frühstück,Küche,"Marina, Alex, Anna","[4626,4625,7012,28667]",[33070],"[37966,2422],[2423,37967],[38938,38937]",,Diakoneo Wohngruppe Igel
Jause,Werkstatt Aufenthaltsraum,,"[28414,28413,28207,28206,28205,28415,24854]","[6225,9805,11655,24645,32424],[39108,9911]",[],,Lebenshilfe Wien Tagesstruktur Nobilegasse; AT-Variante 'Jause'
Mittagessen,Speisesaal,,"[38057,28669,4611,6990,4609]","[11655,9824]",[],,BAG WfbM; Lebenshilfe Wien
Nachmittagsjause,,,"[4695,37841,4694,28835]",[],[],,Lebenshilfe Wien Tagesstruktur
Abendessen kochen,Küche,Mama,"[30526,6985,3235,6984,2342],[38057,4611,4592]",[33070],"[2458,31148]",,Touchdown 21 Mein Alltag
Pizza essen,"Pizzeria Vecchia, Wien 16",Alex,"[2527],[38057,4611,4592,2349]","[32448,11344]","[2423,37967]",,Down-Syndrom Österreich Freizeit-Tipps
Kaffee,"Café Sperl, Wien","Mama, Papa","[2296,24479]","[32400,37337,28889]","[2458,31148],[2497]",,Ohrenkuss #48 Alltag; AT-Variante 'Kaffeehaus'
Eis essen,"Eisdiele Tichy, Wien",Lisa,"[24208,17044,17042,7128],[3348,39483,2349]","[3347,6520]",[34560],,Touchdown 21 Freizeit
Geburtstagstorte backen,Küche,Mama,"[5487],[2579,25488]",[33070],"[2458,31148]",,Lebenshilfe Wien Tagesstruktur
Wäsche waschen,Waschküche,,[5496],"[29841,26168]",[],,Lawton-Brody IADL Scale 1969
Wäsche aufhängen,Schlafzimmer,,"[15736],[5593]",[5988],[],,Lawton-Brody IADL Scale 1969
Bügeln,,,"[2528,2830,26330,26331]",[],[],,Touchdown 21 Mein Alltag
Zimmer Staubsaugen,zuhause,,"[3227,4877,16443,29740]","[6964,9861]",[],,Diakoneo Wohngruppe Igel
Bad putzen,Bad,,"[33954,15905,3323]","[33954,15905]",[],,AWO Wohnheim Dresden Hausordnung
WC putzen,Bad,,"[2430],[3323]","[33954,15905]",[],,AWO Wohnheim Dresden
Müll rausbringen,Mülltonne,,[27208],"[38205,38208,2355,37417]",[],,Touchdown 21 Mein Alltag
Lebensmittel einkaufen,Hofer,,"[4610],[8985]","[3389,6618]",[],,Lebenshilfe Wien teilbetreutes Wohnen; AT-Kette 'Hofer'
Einkaufsliste schreiben,Zuhause,Betreuerin Sabine,"[2380,8107],[7144]","[6964,9861]","[2476,3267,7163,32983,32982,15992,38411]",,Lawton-Brody IADL Scale
Werkstatt,,,"[6225,9805,11655,24645,32424]",[],[],,Lebenshilfe Wien Tagesstruktur Brehmstraße
Fließbandarbeit,,,[39263],[],[],,BAG WfbM; Werkstätten im Netz Verpackung
Vogelhäuschen machen,Tischlerei,,[39265],[16471],[],"DE: Vogelhäuschen, nicht Vogelhaus",Werkstätten im Netz Holzverarbeitung; AT-Variante 'Tischlerei'
Kerzen machen,,,"[6242,37302],",[],[],,Lebenshilfe Wien Werkstatt 2 (behindertenarbeit.at)
Töpfer klasse,,,"[16453,30975,36147],[7063]",[],[],"mal schauen was hier rauskommt, class zu ""learn"" mappen? ",Lebenshilfe Wien Werkstatt 2
Lesenachhilfe,,Lehrerin Wagner,"[2447],[33080]",[],"[6555,6556,2457,2456,28003,28002]",,Lebenshilfe Wien Tagesstruktur Brehmstraße
Werkstatt Tag der offenen Tür,,,"[6225,9805,11655,24645,32424],[36698]",[],[],,Lebenshilfe Wien Schau vorbei 2024
Bewerbungstraining,AMS Wien,,"[39176,19555],[26636,37810,8029,35979,37776,37196]","[24637,24638]",[],,AMS; AK Wien
Bewerbungsgespräch,Spar,,"[39176,19555],[23402]","[3389,6618]",[],,Lebenshilfe.de Ausbildung; AT-Kette 'SPAR'
Bus nehmen,Bushaltestelle Schellhammergasse,Betreuerin Sabine,"[36595,36594,28173]","[2499,35407]","[2476,3267,7163,32983,32982,15992,38411]",,Wiener Linien; Lebenshilfe Wien
Logopädie,,Logopädin Bauer,"[32428,6142]",[],"[32911,2454,32910,6141,23396,37355]",,
Augenärztliche Untersuchung,,Dr Wagner,"[27143,27142,33114]",[],"[16365,16367,38824,11320]",,
Zahnärztliche Untersuchung,,,"[27143,27142,33114]",[],[],,
Professionelle Zahnreinigung,,,[39216],[],[],,
Friseurtermin,"Friseur Bundy, Wien",,"[6588,2849,11333,2512],[16165]","[6587,2850]",[],,
Verschreibung abholen,Apotheke,,"[10148,32773,32773,6453,6452,35019,9072],[38606]","[37368,6497,3313,36835,36836,36837,36838,38352]",[],,
Gesicht waschen,,,"[34611,34777,34775,4939]",[],[],,
Woche planen,,,"[37732,37372,7244,24601],[35671,35651,11706,34870]",[],[],,
Chor singen,,,"[2717,39268],[6960,2315,28657,32015]",[],[],,
Schwimmstunde,,,"[25038],[7063,26636,37810,8029,35979,37776,7063,13634]",[],[],,
Termin,,,[16165],[],[],,
Zahnarzttermin,AKH Wien,Dr. Heinz,"[39141,38886,38834,2733,11229],[16165]","[38083,3116]","[6561,2467,8263,38446,38857,11229]",,
Kieferorthopäde,,Dr. Krenn,"[39141,38886,38834,2733,11229]",[],"[6561,2467,8263,38446,38857,11229]",,
Picknick,Bank,"Mama, Marina","[10236,28361,39755]","[3255,2343]","[2458,31148],[37966,2422]",,
Termin,Bank,Mama,[16165],"[3062,6055,36828,36830,36831,36832]","[2458,31148]",,
Allerheiligen,,,[32460],[],[],,
Lernen,,,"[25682,2387,36055,35979,6495]",[],[],,
automobil,,,"[2339,6981]",[],[],,
